"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 22 18:35:18 GMT 2021","Mon Feb 22 18:35:18 GMT 2021","3","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[6] 6, MARIO BROS. FRANCHISE, 250",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","2","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[3] 3, COROLLA, 20001",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[3] 3, COROLLA, 20001",""
"passed","Mon Feb 22 18:35:18 GMT 2021","Mon Feb 22 18:35:18 GMT 2021","0","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[9] 9, IPHONE, 300.2",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[7] 7, MICHAEL JACKSON’S THRILLER, 20.99",""
"passed","Mon Feb 22 18:35:18 GMT 2021","Mon Feb 22 18:35:18 GMT 2021","72","","com.luiz.actions.products.AddProductCommandAdapterShould","","com.luiz.actions.products.AddProductCommandAdapterShould","execute","Product Adapter communicates with Service",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[4] 4, STAR WARS, 10",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","3","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[10] 10, RUBIK’S CUBE, 30.1",""
"passed","Mon Feb 22 18:35:18 GMT 2021","Mon Feb 22 18:35:18 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[8] 8, HARRY POTTER, 15.0",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[2] 2, LIPITOR, 30.2",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[4] 4, STAR WARS, 10",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","3","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[1] 1, PLAYSTATION 1, 100.19",""
"passed","Mon Feb 22 18:35:18 GMT 2021","Mon Feb 22 18:35:19 GMT 2021","14","","Client by Command Line Interface","","com.luiz.actions.client.ProductCLITest","add","Add new product by CLI",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","9","","Product Service","","com.luiz.domain.model.ProductServiceTest","add","Add new product using service",""
"passed","Mon Feb 22 18:35:22 GMT 2021","Mon Feb 22 18:35:22 GMT 2021","22","","Product Controller","","com.luiz.actions.client.ProductControllerShould","findAll","Fill all products",""
"passed","Mon Feb 22 18:35:18 GMT 2021","Mon Feb 22 18:35:18 GMT 2021","61","","Client by Command Line Interface","","com.luiz.actions.client.ProductCLITest","findAll","Find all products",""
"passed","Mon Feb 22 18:35:18 GMT 2021","Mon Feb 22 18:35:18 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[5] 5, IPAD, 100",""
"passed","Mon Feb 22 18:35:18 GMT 2021","Mon Feb 22 18:35:18 GMT 2021","54","","FindAllProductsQueryAdapterTest - Another way to inject mock","","com.luiz.actions.products.FindAllProductsQueryAdapterTest","execute","Product Query Adapter communicates with Service",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","2","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[6] 6, MARIO BROS. FRANCHISE, 250",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","26","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[1] 1, PLAYSTATION 1, 100.19",""
"passed","Mon Feb 22 18:35:18 GMT 2021","Mon Feb 22 18:35:18 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[7] 7, MICHAEL JACKSON’S THRILLER, 20.99",""
"passed","Mon Feb 22 18:35:18 GMT 2021","Mon Feb 22 18:35:18 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[10] 10, RUBIK’S CUBE, 30.1",""
"skipped","Mon Feb 22 18:35:18 GMT 2021","Mon Feb 22 18:35:18 GMT 2021","0","","FindAllProductsQueryAdapterTest - Another way to inject mock","","com.luiz.actions.products.FindAllProductsQueryAdapterTest","onlyForJava9And10","onlyForJava9And10()",""
"passed","Mon Feb 22 18:35:21 GMT 2021","Mon Feb 22 18:35:22 GMT 2021","112","","Product Controller","","com.luiz.actions.client.ProductControllerShould","sayHello","Default",""
"passed","Mon Feb 22 18:35:18 GMT 2021","Mon Feb 22 18:35:18 GMT 2021","1","","FindAllProductsQueryAdapterTest - Another way to inject mock","","com.luiz.actions.products.FindAllProductsQueryAdapterTest","onlyForJava8","onlyForJava8()",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","31","","Product Service","","com.luiz.domain.model.ProductServiceTest","findAll","Find all products using service",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[9] 9, IPHONE, 300.2",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","3","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[8] 8, HARRY POTTER, 15.0",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[5] 5, IPAD, 100",""
"passed","Mon Feb 22 18:35:17 GMT 2021","Mon Feb 22 18:35:17 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[2] 2, LIPITOR, 30.2",""
"passed","Mon Feb 22 18:35:22 GMT 2021","Mon Feb 22 18:35:22 GMT 2021","101","","Product Controller","","com.luiz.actions.client.ProductControllerShould","addNewProduct","Add new product",""
